"goodreads_book_id","best_book_id","work_id","authors","original_publication_year","original_title","title","language_code","average_rating","ratings_count","work_text_reviews_count"
2767052,2767052,2792775,"Suzanne Collins",2008,"The Hunger Games","The Hunger Games (The Hunger Games, #1)","English",4.34,4780653,155254
3,3,4640799,"J.K. Rowling, Mary GrandPré",1997,"Harry Potter and the Philosopher's Stone","Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","English",4.44,4602479,75867
41865,41865,3212258,"Stephenie Meyer",2005,"Twilight","Twilight (Twilight, #1)","English",3.57,3866839,95009
2657,2657,3275794,"Harper Lee",1960,"To Kill a Mockingbird","To Kill a Mockingbird","English",4.25,3198671,72586
4671,4671,245494,"F. Scott Fitzgerald",1925,"The Great Gatsby","The Great Gatsby","English",3.89,2683664,51992
11870085,11870085,16827462,"John Green",2012,"The Fault in Our Stars","The Fault in Our Stars","English",4.26,2346404,140739
5907,5907,1540236,"J.R.R. Tolkien",1937,"The Hobbit or There and Back Again","The Hobbit","English",4.25,2071616,37653
5107,5107,3036731,"J.D. Salinger",1951,"The Catcher in the Rye","The Catcher in the Rye","English",3.79,2044241,44920
960,960,3338963,"Dan Brown",2000,"Angels & Demons","Angels & Demons  (Robert Langdon, #1)","English",3.85,2001311,25112
1885,1885,3060926,"Jane Austen",1813,"Pride and Prejudice","Pride and Prejudice","English",4.24,2035490,49152
77203,77203,3295919,"Khaled Hosseini",2003,"The Kite Runner","The Kite Runner","English",4.26,1813044,59730
13335037,13335037,13155899,"Veronica Roth",2011,"Divergent","Divergent (Divergent, #1)","English",4.24,1903563,101023
5470,5470,153313,"George Orwell, Erich Fromm, Celâl Üster",1949,"Nineteen Eighty-Four","1984","English",4.14,1956832,45518
7613,7613,2207778,"George Orwell",1945,"Animal Farm: A Fairy Story","Animal Farm","English",3.87,1881700,35472
48855,48855,3532896,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,"Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944","The Diary of a Young Girl","English",4.1,1972666,20825
2429135,2429135,1708725,"Stieg Larsson, Reg Keeland",2005,"Män som hatar kvinnor","The Girl with the Dragon Tattoo (Millennium, #1)","English",4.11,1808403,62543
6148028,6148028,6171458,"Suzanne Collins",2009,"Catching Fire","Catching Fire (The Hunger Games, #2)","English",4.3,1831039,88538
5,5,2402163,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,"Harry Potter and the Prisoner of Azkaban","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","English",4.53,1832823,36099
34,34,3204327,"J.R.R. Tolkien",1954,"The Fellowship of the Ring","The Fellowship of the Ring (The Lord of the Rings, #1)","English",4.34,1766803,15333
